name;model;spec_name;spec_value;spec_value_US;spec_value_INT
Bare Chassis;725C2;Standard Wheel Base;156.7 in 3979 mm;['156.7', 'in'];['3979', 'mm']
Bare Chassis;725C2;Long Wheel Base;215.2 in 5465 mm;['215.2', 'in'];['5465', 'mm']
Bare Chassis;725C2;Engine Model;Cat C13 ACERT Cat C13 ACERT;['Cat', 'C13'];['C13', 'ACERT']
Bare Chassis;725C2;Gross Power - SAE J1995;320 HP 239 kW;['320', 'HP'];['239', 'kW']
Bare Chassis;725C2;Net Power - SAE J1349;314 HP 234 kW;['314', 'HP'];['234', 'kW']
Bare Chassis;725C2;Bore;5.1 in 129.54 mm;['5.1', 'in'];['129.54', 'mm']
Bare Chassis;725C2;Stroke;6.2 in 157.48 mm;['6.2', 'in'];['157.48', 'mm']
Bare Chassis;725C2;Displacement;762.8 in³ 12.5 l;['762.8', 'in³'];['12.5', 'l']
Bare Chassis;725C2;No Engine De-rating Required Below;7500 ft 2286 m;['7500', 'ft'];['2286', 'm']
Bare Chassis;725C2;Peak Engine Torque Net (ISO 14396);1262 lb/ft 1711 N·m;['1262', 'lb/ft'];['1711', 'N·m']
Bare Chassis;725C2;Peak Engine Torque Gross (SAE J1995);1275 lb/ft 1729 N·m;['1275', 'lb/ft'];['1729', 'N·m']
Bare Chassis;725C2;Peak Engine Torque Speed;1200 r/min 1200 r/min;['1200', 'r/min'];['1200', 'r/min']
Bare Chassis;725C2;Net Power - ISO 14396;316 HP 236 kW;['316', 'HP'];['236', 'kW']
Bare Chassis;725C2;Engine Model - U.S. EPA Tier 4 Final/EU Stage IV;Cat® C9.3 ACERT™ Cat® C9.3 ACERT™;['Cat®', 'C9.3'];['C9.3', 'ACERT™']
Bare Chassis;725C2;Rated Payload;26 t 23.6 t;['26', 't'];['23.6', 't']
Bare Chassis;725C2;Forward - 1;5 mile/h 8 km/h;['5', 'mile/h'];['8', 'km/h']
Bare Chassis;725C2;Forward - 2;9 mile/h 15 km/h;['9', 'mile/h'];['15', 'km/h']
Bare Chassis;725C2;Forward - 3;14 mile/h 22 km/h;['14', 'mile/h'];['22', 'km/h']
Bare Chassis;725C2;Forward - 4;21 mile/h 34 km/h;['21', 'mile/h'];['34', 'km/h']
Bare Chassis;725C2;Forward - 5;29 mile/h 47 km/h;['29', 'mile/h'];['47', 'km/h']
Bare Chassis;725C2;Forward - 6;36 mile/h 58 km/h;['36', 'mile/h'];['58', 'km/h']
Bare Chassis;725C2;Reverse - 1;6 mile/h 9 km/h;['6', 'mile/h'];['9', 'km/h']
Bare Chassis;725C2;Interior Cab;76 dB(A) 76 dB(A);['76', 'dB(A)'];['76', 'dB(A)']
Bare Chassis;725C2;Fuel Tank;108.8 gal (US) 412 l;['108.8', 'gal'];['412', 'l']
Bare Chassis;725C2;Cooling System;21.9 gal (US) 83 l;['21.9', 'gal'];['83', 'l']
Bare Chassis;725C2;Hydraulic System;29.1 gal (US) 110 l;['29.1', 'gal'];['110', 'l']
Bare Chassis;725C2;Engine Crankcase;10 gal (US) 38 l;['10', 'gal'];['38', 'l']
Bare Chassis;725C2;Transmission;12.4 gal (US) 47 l;['12.4', 'gal'];['47', 'l']
Bare Chassis;725C2;Final Drives/Differential;33 gal (US) 125 l;['33', 'gal'];['125', 'l']
Bare Chassis;725C2;Output Transfer Gear Box;6.3 gal (US) 24 l;['6.3', 'gal'];['24', 'l']
Bare Chassis;725C2;DEF Tank (ISO 2224-1);5.2 gal (US) 19.6 l;['5.2', 'gal'];['19.6', 'l']
Bare Chassis;725C2;Lock to Lock;4.75 seconds @ 60 rpm 4.75 seconds @ 60 rpm;['4.75', 'seconds'];['60', 'rpm']
Bare Chassis;725C2;Brakes;ISO 3450 - 2011 ISO 3450 - 2011;['ISO', '3450'];['-', '2011']
Bare Chassis;725C2;Cab - FOPS;ISO 3449 Level II - 2005 ISO 3449 Level II - 2005;['ISO', '3449'];['-', '2005']
Bare Chassis;725C2;Cab - ROPS;ISO 3471 - 2008 ISO 3471 - 2008;['ISO', '3471'];['-', '2008']
Bare Chassis;725C2;Steering;ISO 5010 - 2007 ISO 5010 - 2007;['ISO', '5010'];['-', '2007']
Bare Chassis;725C2;Turning Dimensions - Clearance Radius;318 in 8075 mm;['318', 'in'];['8075', 'mm']
Bare Chassis;725C2;Turning Dimensions - Inside Radius;153 in 3879 mm;['153', 'in'];['3879', 'mm']
Bare Chassis;725C2;Turning Dimensions - SAE Turning Radius;294 in 7470 mm;['294', 'in'];['7470', 'mm']
Bare Chassis;725C2;Turning Dimensions - Steer Angle - Left/Right;45 ° 45 °;['45', '°'];['45', '°']
Bare Chassis;725C2;Turning Dimensions - Aisle Width;210 in 5332 mm;['210', 'in'];['5332', 'mm']
Bare Chassis;730C2;Standard Wheel Base;156.7 in 3979 mm;['156.7', 'in'];['3979', 'mm']
Bare Chassis;730C2;Long Wheel Base;215.2 in 5465 mm;['215.2', 'in'];['5465', 'mm']
Bare Chassis;730C2;Gross Power - SAE J1995;375 HP 280 kW;['375', 'HP'];['280', 'kW']
Bare Chassis;730C2;Engine Model;Cat C13 Cat C13;['Cat', 'C13'];['Cat', 'C13']
Bare Chassis;730C2;Net Power - SAE J1349;367 HP 274 kW;['367', 'HP'];['274', 'kW']
Bare Chassis;730C2;Bore;5.12 in 130 mm;['5.12', 'in'];['130', 'mm']
Bare Chassis;730C2;Stroke;6.18 in 157 mm;['6.18', 'in'];['157', 'mm']
Bare Chassis;730C2;Displacement;763 in³ 12.5 l;['763', 'in³'];['12.5', 'l']
Bare Chassis;730C2;No Engine De-rating Required Below;12500 ft 3810 m;['12500', 'ft'];['3810', 'm']
Bare Chassis;730C2;Peak Engine Torque Net (ISO 14396);1564 lb/ft 2120 N·m;['1564', 'lb/ft'];['2120', 'N·m']
Bare Chassis;730C2;Net Power - ISO 14396;370 HP 276 kW;['370', 'HP'];['276', 'kW']
Bare Chassis;730C2;Peak Engine Torque Speed;1200 r/min 1200 r/min;['1200', 'r/min'];['1200', 'r/min']
Bare Chassis;730C2;Engine Model - U.S. EPA Tier 4 Final/EU Stage IV;Cat® C13 ACERT™ Cat® C13 ACERT™;['Cat®', 'C13'];['C13', 'ACERT™']
Bare Chassis;730C2;Peak Engine Torque Gross (SAE J1995);1579 lb/ft 2141 N·m;['1579', 'lb/ft'];['2141', 'N·m']
Bare Chassis;730C2;Rated Payload;31 t 28 t;['31', 't'];['28', 't']
Bare Chassis;730C2;Forward - 1;5 mile/h 8 km/h;['5', 'mile/h'];['8', 'km/h']
Bare Chassis;730C2;Forward - 2;9 mile/h 15 km/h;['9', 'mile/h'];['15', 'km/h']
Bare Chassis;730C2;Forward - 3;14 mile/h 22 km/h;['14', 'mile/h'];['22', 'km/h']
